Acc. Filename,Er-v-2p-1,Er-v-2p-2,Er_max,PGV,PEAK_PULSE,Tp,Number of pulses
RSN1238_CHICHI_CHY092-W.AT2,3.378999e-01,1.037228e-01,3.378999e-01,4.416227e-01,5.322107e+01,5.313918e+01,4.700000e+00,1
RSN1244_CHICHI_CHY101-E.AT2,3.430645e-01,1.974835e-01,3.430645e-01,5.405480e-01,6.500946e+01,5.810933e+01,3.170000e+00,1
RSN1244_CHICHI_CHY101-N.AT2,5.007275e-01,2.643131e-01,5.007275e-01,7.650407e-01,1.092253e+02,9.161718e+01,4.575000e+00,1
RSN1246_CHICHI_CHY104-N.AT2,2.362977e-01,2.014602e-01,2.362977e-01,4.377579e-01,5.262507e+01,0,5.296000e+00,0
RSN1246_CHICHI_CHY104-V.AT2,2.855632e-01,1.471419e-01,2.855632e-01,4.327050e-01,3.314828e+01,0,3.952000e+00,0
RSN1246_CHICHI_CHY104-W.AT2,1.444276e-01,9.027431e-02,1.444276e-01,2.347019e-01,5.626492e+01,0,4.220000e+00,0
RSN125_FRIULI.A_A-TMZ270.AT2,3.324623e-01,1.175831e-01,3.324623e-01,4.500454e-01,3.053373e+01,2.833955e+01,7.400000e-01,1
RSN126_GAZLI_GAZ-UP.AT2,5.079824e-01,5.698526e-02,5.079824e-01,5.649677e-01,5.685266e+01,4.650227e+01,7.656000e-01,1
RSN126_GAZLI_GAZ000.AT2,3.838711e-01,2.749129e-01,3.838711e-01,6.587840e-01,6.631451e+01,5.714544e+01,2.488200e+00,2
RSN126_GAZLI_GAZ090.AT2,4.034865e-01,9.695521e-02,4.034865e-01,5.004417e-01,6.768785e+01,3.802320e+01,3.715800e+00,1
RSN143_TABAS_TAB-L1.AT2,3.387987e-01,2.050634e-01,3.387987e-01,5.438621e-01,9.905016e+01,7.704907e+01,3.280000e+00,1
RSN143_TABAS_TAB-T1.AT2,5.833805e-01,1.665633e-01,5.833805e-01,7.499438e-01,1.235888e+02,9.997679e+01,4.960000e+00,1
RSN143_TABAS_TAB-V1.AT2,2.852786e-01,1.116132e-01,2.852786e-01,3.968918e-01,4.211032e+01,0,2.700000e+00,0
RSN1476_CHICHI_TCU029-E.AT2,4.402572e-01,2.274613e-01,4.402572e-01,6.677185e-01,3.747535e+01,3.473463e+01,8.230000e+00,1
RSN1476_CHICHI_TCU029-N.AT2,4.903022e-01,3.005035e-01,4.903022e-01,7.908058e-01,5.187666e+01,5.167404e+01,4.170000e+00,2
RSN147_COYOTELK_G02140.AT2,6.428099e-01,8.990186e-02,6.428099e-01,7.327118e-01,3.197557e+01,2.314616e+01,1.500000e+00,1
RSN1480_CHICHI_TCU036-E.AT2,5.706762e-01,2.007987e-01,5.706762e-01,7.714748e-01,5.755356e+01,5.766160e+01,6.305000e+00,1
RSN1480_CHICHI_TCU036-N.AT2,5.145600e-01,1.364007e-01,5.145600e-01,6.509607e-01,4.754135e+01,4.239997e+01,6.080000e+00,1
RSN1481_CHICHI_TCU038-E.AT2,5.784942e-01,1.306943e-01,5.784942e-01,7.091885e-01,5.676959e+01,5.385693e+01,6.425000e+00,1
RSN1481_CHICHI_TCU038-N.AT2,5.267423e-01,5.437709e-02,5.267423e-01,5.811193e-01,3.877783e+01,3.440389e+01,7.130000e+00,1
RSN1481_CHICHI_TCU038-V.AT2,6.315581e-01,1.864405e-01,6.315581e-01,8.179986e-01,3.232029e+01,3.210549e+01,5.310000e+00,1
RSN1482_CHICHI_TCU039-E.AT2,3.806460e-01,2.303445e-01,3.806460e-01,6.109905e-01,5.528498e+01,4.940068e+01,7.700000e+00,2
RSN1482_CHICHI_TCU039-N.AT2,6.356974e-01,8.552690e-02,6.356974e-01,7.212243e-01,5.658132e+01,5.177773e+01,5.295000e+00,1
RSN1482_CHICHI_TCU039-V.AT2,5.772459e-01,2.352635e-01,5.772459e-01,8.125094e-01,5.044332e+01,5.039008e+01,4.660000e+00,1
RSN1483_CHICHI_TCU040-E.AT2,6.888998e-01,8.562189e-02,6.888998e-01,7.745217e-01,5.680995e+01,5.271985e+01,6.390000e+00,1
RSN1483_CHICHI_TCU040-N.AT2,6.775005e-01,5.324184e-02,6.775005e-01,7.307424e-01,4.732857e+01,4.538595e+01,6.910000e+00,1
RSN1484_CHICHI_TCU042-E.AT2,4.175732e-01,2.131798e-01,4.175732e-01,6.307529e-01,3.704343e+01,3.049949e+01,7.790000e+00,2
RSN1484_CHICHI_TCU042-N.AT2,2.368389e-01,2.462879e-01,2.462879e-01,4.831268e-01,3.617729e+01,0,5.840000e+00,0
RSN1485_CHICHI_TCU045-E.AT2,6.646476e-01,6.486098e-02,6.646476e-01,7.295086e-01,5.010142e+01,2.931695e+01,7.260000e+00,1
RSN1485_CHICHI_TCU045-N.AT2,2.211929e-01,9.872005e-02,2.211929e-01,3.199129e-01,4.640778e+01,0,1.050000e+00,0
RSN1486_CHICHI_TCU046-V.AT2,7.114366e-01,1.847589e-01,7.114366e-01,8.961954e-01,3.244518e+01,3.259895e+01,7.100000e+00,1
RSN1488_CHICHI_TCU048-E.AT2,3.940489e-01,8.221441e-02,3.940489e-01,4.762633e-01,3.432276e+01,2.273482e+01,1.149000e+01,1
RSN1488_CHICHI_TCU048-N.AT2,4.426741e-01,2.656516e-01,4.426741e-01,7.083257e-01,4.732531e+01,4.703504e+01,7.540000e+00,2
RSN1489_CHICHI_TCU049-E.AT2,6.939036e-01,7.048039e-02,6.939036e-01,7.643840e-01,5.357613e+01,4.012641e+01,1.093000e+01,1
RSN1489_CHICHI_TCU049-N.AT2,3.627549e-01,3.543760e-01,3.627549e-01,7.171309e-01,6.232554e+01,4.426229e+01,7.365000e+00,2
RSN1490_CHICHI_TCU050-E.AT2,5.436572e-01,1.239319e-01,5.436572e-01,6.675891e-01,3.668588e+01,2.655010e+01,1.284000e+01,1
RSN1490_CHICHI_TCU050-N.AT2,3.484697e-01,1.316910e-01,3.484697e-01,4.801607e-01,4.330037e+01,4.002360e+01,7.705000e+00,1
RSN1490_CHICHI_TCU050-V.AT2,5.209829e-01,2.046118e-01,5.209829e-01,7.255947e-01,4.216492e+01,4.149893e+01,4.755000e+00,1
RSN1491_CHICHI_TCU051-E.AT2,6.985057e-01,5.199469e-02,6.985057e-01,7.505004e-01,5.385072e+01,4.300586e+01,7.575000e+00,1
RSN1491_CHICHI_TCU051-N.AT2,4.359466e-01,1.206680e-01,4.359466e-01,5.566146e-01,4.175431e+01,3.865671e+01,9.255000e+00,1
RSN1492_CHICHI_TCU052-E.AT2,5.050835e-01,8.601957e-02,5.050835e-01,5.911031e-01,1.512122e+02,1.019955e+02,1.069500e+01,1
RSN1492_CHICHI_TCU052-N.AT2,5.343154e-01,1.348582e-01,5.343154e-01,6.691736e-01,1.723389e+02,1.696858e+02,3.860000e+00,1
RSN1492_CHICHI_TCU052-V.AT2,5.012719e-01,2.107152e-01,5.012719e-01,7.119872e-01,1.440743e+02,7.825011e+01,1.551500e+01,1
RSN1493_CHICHI_TCU053-E.AT2,6.647455e-01,6.309114e-02,6.647455e-01,7.278367e-01,3.960158e+01,3.316121e+01,1.197500e+01,1
RSN1493_CHICHI_TCU053-N.AT2,3.210591e-01,4.345344e-01,4.345344e-01,7.555934e-01,4.632998e+01,4.251011e+01,8.390000e+00,2
RSN1493_CHICHI_TCU053-V.AT2,3.491160e-01,2.981516e-01,3.491160e-01,6.472676e-01,3.252974e+01,2.317577e+01,5.485000e+00,2
RSN1494_CHICHI_TCU054-E.AT2,6.476735e-01,6.747041e-02,6.476735e-01,7.151439e-01,4.602468e+01,4.201464e+01,1.146500e+01,1
RSN1494_CHICHI_TCU054-N.AT2,3.203725e-01,2.387299e-01,3.203725e-01,5.591024e-01,4.142594e+01,2.910952e+01,8.950000e+00,2
RSN1494_CHICHI_TCU054-V.AT2,3.044440e-01,2.679540e-01,3.044440e-01,5.723979e-01,3.015171e+01,2.633929e+01,5.050000e+00,2
RSN1495_CHICHI_TCU055-E.AT2,1.632012e-01,1.558116e-01,1.632012e-01,3.190127e-01,3.313970e+01,0,3.065000e+00,0
RSN1495_CHICHI_TCU055-N.AT2,2.525840e-01,3.110834e-01,3.110834e-01,5.636674e-01,4.896955e+01,4.494713e+01,7.320000e+00,2
RSN1495_CHICHI_TCU055-V.AT2,4.550389e-01,1.978460e-01,4.550389e-01,6.528848e-01,5.908257e+01,5.152574e+01,4.875000e+00,1
RSN1496_CHICHI_TCU056-E.AT2,5.848801e-01,4.799612e-02,5.848801e-01,6.328762e-01,4.288037e+01,3.360253e+01,7.710000e+00,1
RSN1496_CHICHI_TCU056-N.AT2,4.202503e-01,1.932272e-01,4.202503e-01,6.134775e-01,3.956353e+01,3.724993e+01,7.090000e+00,1
RSN1496_CHICHI_TCU056-V.AT2,4.068709e-01,1.462637e-01,4.068709e-01,5.531346e-01,4.178850e+01,4.164942e+01,5.130000e+00,1
RSN1497_CHICHI_TCU057-E.AT2,4.505463e-01,1.555784e-01,4.505463e-01,6.061247e-01,3.822911e+01,2.203925e+01,1.361000e+01,1
